"Observer","Site","Species","FocalID","GroupSize","DistToCover_m","Interval","Behavior"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,17,"LOC"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,19,"VIG"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,20,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,24,"VIG"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,26,"LOC"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,27,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,29,"VIG"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,1,"SOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,2,"REST"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,3,"VIG"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,6,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,7,"VIG"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,8,"REST"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,9,"REST"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,10,"LOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,11,"LOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,14,"VIG"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,15,"LOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,16,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,17,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,18,"SOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,24,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,26,"LOC"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,27,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,29,"FOR"
"KLM","NorthCampus","Sciurus aberti","A3",2,2.5,30,"VIG"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,1,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,4,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,6,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,7,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,9,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,12,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,14,"REST"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,16,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,17,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,19,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,20,"REST"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,21,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,22,"REST"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,23,"REST"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,24,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,25,"REST"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,26,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,27,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,28,"LOC"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,29,"FOR"
"KLM","NorthCampus","Sciurus aberti","A4",2,3.5,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,1,"SOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,3,"LOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,6,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,7,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,9,"LOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,10,"LOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,12,"OTH"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,13,"VIG"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,14,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,16,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,17,"LOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,20,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,22,"LOC"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,24,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,26,"VIG"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,27,"VIG"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,29,"FOR"
"KLM","NorthCampus","Sciurus aberti","A5",3,4,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,1,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,3,"OTH"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,4,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,5,"LOC"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,7,"REST"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,10,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,11,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,12,"REST"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,14,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,16,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,17,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,18,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,22,"LOC"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,24,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,26,"REST"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,27,"VIG"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,29,"FOR"
"KLM","NorthCampus","Sciurus aberti","A6",3,5,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,1,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,4,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,5,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,7,"SOC"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,9,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,14,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,15,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,16,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,17,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,19,"LOC"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,21,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,23,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,24,"FOR"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,25,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,26,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,27,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,28,"OTH"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,29,"VIG"
"KLM","NorthCampus","Sciurus aberti","A7",1,6,30,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,1,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,4,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,5,"REST"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,7,"REST"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,10,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,11,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,13,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,14,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,16,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,17,"SOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,18,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,19,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,23,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,24,"OTH"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,26,"FOR"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,27,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,28,"VIG"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,29,"LOC"
"KLM","NorthCampus","Sciurus aberti","A8",1,7,30,"SOC"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,1,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,3,"REST"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,4,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,5,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,7,"LOC"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,8,"SOC"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,9,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,14,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,16,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,17,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,19,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,21,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,22,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,24,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,26,"VIG"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,27,"FOR"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,28,"LOC"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,29,"REST"
"KLM","NorthCampus","Sciurus aberti","A9",1,8.5,30,"LOC"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,1,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,2,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,5,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,7,"LOC"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,8,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,10,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,11,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,13,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,14,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,16,"LOC"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,17,"REST"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,20,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,21,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,22,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,23,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,24,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,25,"REST"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,26,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,27,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,29,"VIG"
"KLM","NorthCampus","Sciurus aberti","A10",1,10,30,"LOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,1,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,7,"SOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,8,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,10,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,11,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,12,"LOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,14,"LOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,15,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,16,"REST"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,17,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,18,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,20,"LOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,21,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,22,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,23,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,24,"REST"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,26,"SOC"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,27,"OTH"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,28,"VIG"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,29,"OTH"
"KLM","NorthCampus","Sciurus aberti","A11",3,11,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,1,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,2,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,3,"VIG"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,4,"VIG"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,7,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,8,"OTH"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,12,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,13,"LOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,14,"OTH"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,16,"VIG"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,17,"LOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,18,"LOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,20,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,21,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,23,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,24,"LOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,25,"SOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,26,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,27,"LOC"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,28,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,29,"FOR"
"KLM","NorthCampus","Sciurus aberti","A12",3,13,30,"FOR"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,1,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,2,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,3,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,4,"REST"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,5,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,6,"FOR"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,7,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,8,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,9,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,10,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,11,"LOC"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,12,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,14,"FOR"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,15,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,16,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,17,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,18,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,19,"LOC"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,20,"VIG"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,21,"OTH"
"KLM","NorthCampus","Sciurus aberti","A13",2,15,22,"VIG"
