"Longitude","Latitude","species"
-122.945506,42.468511,1
-103.297797,44.057497,1
-118.055891,48.614021,1
-120.250686,41.17608,1
-110.901493,39.763657,1
-116.438141,48.060927,1
-110.752167,32.433522,1
-118.673615,36.789821,1
-117.258057,48.847778,1
-111.753842,40.623667,1
-115.786683,49.499437,1
-114.725499,45.114063,1
-121.359814,42.680019,1
-121.382378,44.070461,1
-114.180258,39.252858,1
-103.01935,36.839719,1
-115.201036,48.594773,1
-112.159479,34.701468,1
-109.855042,37.633683,1
-120.451261,44.05405,1
-120.637603,49.737928,1
-105.557953,36.809487,1
-103.363953,43.596488,1
-106.555919,32.337319,1
-105.56192,40.36648,1
-115.312195,43.45203,1
-108.829222,33.183733,1
-112.672303,46.954522,1
-117.578062,45.123688,1
-115.765933,48.45481,1
-107.006447,38.8917,1
-104.179567,30.645608,1
-112.564134,37.392291,1
-111.174737,40.629922,1
-121.992317,43.764478,1
-121.633531,36.301156,1
-109.687036,40.562281,1
-112.212439,36.730829,1
-118.515984,48.600952,1
-114.129539,46.758122,1
-119.995232,48.244778,1
-119.374778,37.044045,1
-115.235205,49.24773,1
-120.1706,42.380733,1
-105.418587,39.029845,1
-121.389022,43.467614,1
-118.096083,45.09962,1
-117.61376,45.48954,1
-106.98793,44.756032,1
-118.88137,37.123272,1
-120.893844,38.801931,1
-108.80919,42.748633,1
-117.057953,46.368288,1
-116.323099,47.556578,1
-122.919522,42.171989,1
-122.427422,45.597183,1
-108.875373,46.86727,1
-119.251167,48.519789,1
-107.060364,34.441375,1
-109.297119,47.112295,1
-121.204942,38.970653,1
-104.408575,42.89197,1
-121.221827,38.69719,1
-109.649793,47.29096,1
-122.596755,38.655528,1
-113.904983,35.114617,1
-123.023505,38.669992,1
-104.987673,39.934659,1
-106.228246,36.175028,1
-107.403618,33.622401,1
-117.532101,47.412625,1
-118.807526,45.67782,1
-105.253063,35.893879,1
-122.222375,37.760975,1
-120.220222,48.571955,1
-115.601945,30.979837,1
-112.112542,40.471486,1
-121.07533,45.81205,1
-104.867331,39.661945,1
-114.167269,46.09168,1
-120.702867,47.206872,1
-105.406578,40.005458,1
-105.262567,41.235955,1
-120.496192,46.547837,1
-119.077502,47.867646,1
-118.266905,46.06752,1
-122.361654,43.887897,1
-105.178553,40.525908,1
-119.424422,49.878567,1
-123.516243,42.840769,1
-115.739717,49.789692,1
-122.49144,47.029532,1
-118.758562,46.0532,1
-120.964608,40.026597,1
-123.16735,42.972285,1
-103.677223,41.710873,1
-112.129547,35.90825,1
-122.717819,44.705383,1
-115.635151,43.958186,1
-111.857386,35.249452,1
-116.807444,44.648756,1
-116.825958,45.04026,1
-112.327133,37.746064,1
-118.679425,44.460598,1
-116.115324,44.135207,1
-116.300502,45.513409,1
-121.647863,39.921675,1
-120.792009,47.766329,1
-116.872815,47.040647,1
-123.350328,39.264305,1
-111.439727,38.649275,1
-107.51532,33.88382,1
-107.881452,37.307026,1
-111.50956,39.339276,1
-114.46804,48.116699,1
-116.381803,48.333633,1
-114.035333,47.873604,1
-108.52139,45.794509,1
-119.73838,50.815813,1
-113.594559,38.79298,1
-107.2354,35.573109,1
-123.644133,39.918831,1
-121.520959,45.728879,1
-108.463475,46.255419,1
-98.592625,42.019063,1
-122.010597,50.294622,1
-107.910151,34.905006,1
-113.39758,37.26159,1
-119.798958,39.589267,1
-116.871376,49.687781,1
-110.935387,34.262992,1
-124.042555,42.531945,1
-118.683994,48.078354,1
-118.355573,49.012866,1
-123.376015,44.058462,1
-109.657783,48.330397,1
-114.885648,46.475044,1
-122.120651,52.120257,1
-105.689453,33.320545,1
-123.37466,44.572147,1
-121.624145,46.112336,1
-113.345256,46.703998,1
-114.506172,47.015964,1
-108.353783,35.041217,1
-104.0754,41.173742,1
-105.678925,33.765587,1
-120.638803,48.292022,1
-119.444389,50.178697,1
-120.666992,45.951862,1
-114.534255,46.738092,1
-122.522143,40.612785,1
-105.336754,38.721191,1
-119.525365,49.295998,1
-114.200729,37.46839,1
-121.644744,41.478344,1
-119.689842,49.007881,1
-101.973666,43.544498,1
-104.385575,36.955169,1
-103.975356,36.777769,1
-120.88028,50.767442,1
-122.180061,51.453571,1
-111.115178,39.413346,1
-107.091014,37.250744,1
-120.413545,50.834318,1
-117.298671,47.033541,1
-123.427381,45.030882,1
-118.59977,42.53122,1
-120.139617,50.593083,1
-121.873792,50.599915,1
-105.43248,35.656228,1
-122.178826,50.873396,1
-104.777283,37.424719,1
-112.457558,34.49818,1
-117.221772,47.635768,1
-102.187597,40.829406,1
-120.815147,42.466628,1
-122.182145,41.517137,1
-109.556919,40.889653,1
-117.843582,45.722108,1
-121.525825,49.982045,1
-123.63904,41.02494,1
-123.281525,40.693353,1
-108.756197,40.823969,1
-120.299622,38.272178,1
-106.950357,38.544699,1
-106.335517,35.011428,1
-113.990295,45.523022,1
-103.563303,43.847319,1
-108.091034,32.673733,1
-106.710399,35.91396,1
-122.765801,39.148147,1
-109.956383,32.709258,1
-104.730509,38.876552,1
-122.042739,37.028575,1
-105.104844,39.27343,1
-104.764908,39.352081,1
-114.916968,38.517668,1
-122.998147,44.295987,1
-122.962692,39.463558,1
-120.368605,43.360511,1
-121.135555,44.373678,1
-108.489153,33.0802,1
-111.694299,37.933179,1
-107.813681,34.344062,1
-110.7909,34.589722,1
-117.660701,47.737496,1
-121.263367,43.111297,1
-116.354558,48.895179,1
-110.095078,34.255938,1
-109.178757,39.522745,1
-108.982011,34.026542,1
-109.098547,36.51438,1
-121.732872,50.875965,1
-119.047081,49.045403,1
-118.251047,45.789412,1
-116.046814,44.818567,1
-104.807904,44.859087,1
-110.760938,38.073388,1
-122.084082,42.979418,1
-117.5307,49.406345,1
-120.450278,44.471221,1
-112.203737,35.195137,1
-122.560415,41.875778,1
-122.328188,41.116003,1
-123.171188,45.608036,1
-104.959587,36.451787,1
-112.876328,47.472092,1
-121.447194,45.418374,1
-121.479315,45.110107,1
-104.71383,44.588139,1
-106.827178,44.331998,1
-118.459675,44.8108,1
-120.42725,48.040708,1
-123.141343,46.550673,1
-121.389434,50.348,1
-121.30638,51.079731,1
-121.78533,43.176708,1
-110.848006,37.016385,1
-104.683617,47.066136,1
-115.117697,48.923255,1
-117.213272,45.26743,1
-112.558205,46.017956,1
-117.164464,47.93001,1
-115.937546,45.170996,1
-109.704241,45.230694,1
-105.510031,38.039565,1
-112.338495,34.196522,1
-122.923033,41.33958,1
-119.547097,37.309947,1
-120.666175,39.308962,1
-121.132046,47.217018,1
-107.660217,46.089181,1
-105.125061,36.897983,1
-120.165534,39.169105,1
-122.012428,41.243417,1
-114.270797,46.355392,1
-103.66,44.198,1
-106.580558,36.896972,1
-123.365685,42.517185,1
-111.379188,38.18992,1
-104.422157,45.88036,1
-119.816017,38.167831,1
-117.904506,49.033643,1
-116.07777,44.407314,1
-115.027195,47.233508,1
-120.326525,41.712294,1
-120.880119,41.292175,1
-109.05008,38.305248,1
-119.707917,44.600838,1
-116.683753,33.770058,1
-110.29487,46.886302,1
-108.466912,37.717757,1
-117.513583,45.926302,1
-119.2661,44.321587,1
-102.999306,42.690932,1
-106.146826,45.569283,1
-117.286986,34.264778,1
